,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
SEC62,0.0249828835807009,3.44607418042779e-27,21.868083959795,1.3549274462606e-22,0.54632779570055
RPS20,0.00283339518411363,2.56855079501114e-06,0.995720423017063,0.100990280158248,0.00282126945130013
CSDE1,0.0344131695506447,1.77147875242332e-44,39.1570726340007,6.96510015877801e-40,1.34751897966078
UBE3C,0.024853224652385,2.16412653742133e-35,30.0701259310957,8.50891271983319e-31,0.747339595091029
REV3L,-0.0153203312025021,4.04216976276248e-12,6.79879403262869,1.58930030732295e-07,-0.104159776357467
TENM1,0.00528225165453875,4.14090447002499e-07,1.78831337014349,0.0162812081952443,0.00944632125827419
MASP2,-0.00796238332187607,0.0111753641897798,0,1,0
IYD,0.00777231741371119,1.18863373759841e-05,0.330360528761012,0.467347012948941,0.00256766689049205
FAM76A,0.0132352170660121,9.48344157380958e-18,12.4284426087448,3.72869955799045e-13,0.164493135719211
TRAF3IP3,-0.0169915008956929,0.980024768039982,0,1,0
POMT2,-0.017027670049458,4.97011333660075e-09,3.70904228932546,0.000195414916168468,-0.0631563483021201
VTA1,-0.00517513032612803,2.88553302874407e-07,1.94518253191202,0.0113453387624159,-0.0100665731107524
MLXIPL,-0.00722985440907007,0.0228279075889369,0,1,0
BAZ1B,-0.00952061712744343,6.32347865130707e-06,0.604452524984795,0.248626533612091,-0.00575476106209667
RANBP9,0.0224450982529033,1.17007933258699e-26,21.3371932733015,4.60051791986552e-22,0.47891539946044
ETV7,0.00410303724556063,0.220948379367404,0,1,0
SPRTN,0.00101598191724281,1.25578556717529e-13,8.30649309428376,4.9374976930198e-09,0.00843924677949461
METTL13,0.00575787826818702,2.20882184747154e-06,1.06124789239817,0.0868464573988862,0.00611053617679867
DYRK4,0.0132205168081961,2.69009994695978e-15,9.97564016574452,1.05769349714565e-10,0.131883118483742
ZNF207,0.0224963087566276,6.29262165447738e-37,31.6065769611971,2.47413298210742e-32,0.711031314059203
UQCRC1,0.0222343072758679,2.99648647995907e-23,17.9287962591446,1.17815855419031e-18,0.398634365112253
STARD3NL,0.00499865830528684,6.55029131359629e-13,7.5891479666953,2.57544353867979e-08,0.0379355575137722
CD9,0.0654816962620713,1.48416885785066e-62,57.2339252670643,5.83545511529721e-58,3.74777451022399
NCAPD2,-0.0129117031111371,0.0174952760197221,0,1,0
IFFO1,-0.019508720384169,7.92684922177804e-05,0,1,0
GIPR,-0.00507821555356176,1.80206718353161e-08,3.14963760362253,0.000708536775220957,-0.0159945386667989
PHF7,0.00522578316383125,2.97347673385184e-13,7.93214403697501,1.16911158221587e-08,0.0414516647615085
SEMA3G,-0.00749467692580736,0.0932946125745824,0,1,0
NISCH,0.00745920660963245,1.07032713907529e-06,1.37589204417981,0.0420831224541621,0.0102630630300867
STAB1,-0.0146354841926702,0.91919194048114,0,1,0
FUZ,-0.0156847397717931,8.36610682477915e-05,0,1,0
SLC6A13,-0.0243874111329192,0.999766346547683,0,1,0
IDS,0.0332186770735882,4.49003067493948e-39,33.7531592736388,1.76539026077271e-34,1.1212352981244
PRSS3,0.0126184211489737,0.00578598396283172,0,1,0
ZNF200,0.00044765717395853,0.000498772141341342,0,1,0
CD4,-0.00251112814866475,0.312961809093735,0,1,0
LRRC23,-0.00854347742797817,0.00211039650458678,0,1,0
BTK,-0.00253226956148617,0.739825201437163,0,1,0
HFE,-0.000661125859669142,0.000740488076379049,0,1,0
SCMH1,0.0472470414073676,1.79258538531237e-52,47.1519287302984,7.04808721797117e-48,2.22778912915765
FYN,-0.00195190018821703,0.0555432476627628,0,1,0
HIVEP2,0.0417515210787508,4.69985814972227e-40,34.733323831325,1.8478902273078e-35,1.45016910207865
FMO1,-0.00343950534640556,0.00441367385853672,0,1,0
ELOA,-0.00851746462065711,6.38838547394218e-05,0,1,0
LYPLA2,0.0206275333969066,1.58163814126763e-14,9.20630145219936,6.21868484383605e-10,0.189903290667232
CLCN6,0.00850265971221272,9.75337608784068e-21,15.4162536108306,3.8348324102172e-16,0.131079158490063
MRC2,-0.0191773798230471,0.752163380878202,0,1,0
NME1-NME2,0.0206284857180765,9.19417754026155e-21,15.4418956959058,3.61496672528004e-16,0.318542924823019
SLC6A7,0.00104260180949661,0.654492946488967,0,1,0
TSPAN9,0.00613777324288498,4.14784279720073e-17,11.7875862933458,1.63084883100338e-12,0.0723495317494958
BTBD7,0.0100446028682472,1.6973421278032e-22,17.1756391911745,6.67360977809662e-18,0.172522474683651
APBA3,-0.0102076738757574,0.00316115287018103,0,1,0
MKS1,-0.000647107712255738,7.79127239139959e-08,2.51380019363601,0.00306337247885049,-0.00162669949237183
ABHD5,0.00136802875866189,1.07907352236322e-16,11.3723575454399,4.24270127522771e-12,0.0155577121759474
ANOS1,0.0137529558312088,7.76395819343809e-15,9.51532539348176,3.05263308249599e-10,0.130863849856134
AKAP8L,-0.00585414559118993,1.25369699102468e-10,5.30721599813796,4.92928582931085e-06,-0.031069215136992
MBTD1,-0.00739532960178168,9.06944105025122e-14,8.44782805934893,3.56592283213777e-09,-0.0624744729180651
