,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa03040.8,0.000146535854488774,0.000403725194979932,0.468,0.416,0.0455726507460087,12,hsa03040
hsa04211.13,0.00015071010584463,0.000368668088013757,0.649,0.638,0.04687084291768,12,hsa04211
hsa04923.11,0.00018405623052963,0.000405106921375187,0.886,0.913,0.0572414876947148,12,hsa04923
hsa00230.13,0.000210828437925732,6.09931693137778e-05,0.684,0.632,0.0655676441949026,12,hsa00230
hsa00072.13,0.000306067824360879,0.000137528052793507,0.128,0.101,0.0951870933762334,12,hsa00072
hsa05120.12,0.000306479510745268,0.000239364929251321,0.748,0.731,0.0953151278417782,12,hsa05120
hsa04330.10,0.000329115744936578,0.00013761781797961,0.726,0.695,0.102354996675276,12,hsa04330
hsa04146.10,0.000339033941845265,0.000430086794181048,0.436,0.398,0.105439555913877,12,hsa04146
hsa03410.6,0.000382819167381799,2.47100481342058e-05,0.283,0.202,0.11905676105574,12,hsa03410
hsa00564.12,0.000903932047770311,0.000137241861936422,0.449,0.406,0.281122866856567,12,hsa00564
hsa00250.10,0.000961903071147938,9.73329505133381e-05,0.435,0.361,0.299151855127009,12,hsa00250
hsa04966.9,0.00101249939440642,0.000125585141247317,0.328,0.307,0.314887311660398,12,hsa04966
hsa04060.10,0.00164026858604376,9.33860769811253e-06,0.494,0.408,0.510123530259608,12,hsa04060
hsa04072.13,0.00211965985961777,9.23106965627499e-05,0.406,0.346,0.659214216341126,12,hsa04072
hsa05412.11,0.00213683600430377,0.000210525027232964,0.777,0.782,0.664555997338473,12,hsa05412
hsa00410.11,0.00343847063888413,0.000281063473880786,0.677,0.657,1,12,hsa00410
hsa05034.11,0.00482745095227507,0.000202250826266724,0.671,0.648,1,12,hsa05034
hsa05162.12,0.00685536760758821,0.00030228628679468,0.701,0.706,1,12,hsa05162
hsa04611.13,1.55758032397538e-118,0.00549199455483351,0.979,0.713,4.84407480756342e-116,21,hsa04611
hsa04270.12,6.60383044202226e-114,0.00510654022297809,0.981,0.731,2.05379126746892e-111,21,hsa04270
hsa04022.14,3.85992692746874e-104,0.00763771933304884,0.989,0.866,1.20043727444278e-101,21,hsa04022
hsa04540.13,8.49477231918782e-101,0.00508420015794711,0.985,0.808,2.64187419126741e-98,21,hsa04540
hsa04713.12,8.65197718281407e-97,0.00278444337039138,0.968,0.665,2.69076490385518e-94,21,hsa04713
hsa05230.10,2.14615650403515e-70,0.00174969238535494,0.709,0.331,6.67454672754931e-68,21,hsa05230
hsa04730.12,1.63098189428665e-66,0.00244328089580448,0.966,0.693,5.07235369123149e-64,21,hsa04730
hsa00330.2,3.4141323214917e-50,0.00133007043978933,0.109,0.072,1.06179515198392e-47,21,hsa00330
hsa04970.13,6.19353513115515e-43,0.0015655512312119,0.987,0.809,1.92618942578925e-40,21,hsa04970
hsa04020.13,7.49914141960179e-43,0.00134216890408094,0.794,0.604,2.33223298149616e-40,21,hsa04020
hsa04714.14,1.0973266157518e-41,0.0026974231379063,0.987,0.794,3.4126857749881e-39,21,hsa04714
hsa00590.4,1.28171073718912e-34,0.000136292379729168,0.216,0.084,3.98612039265815e-32,21,hsa00590
hsa00052.12,2.34675431382054e-29,0.000253574719298335,0.405,0.266,7.29840591598187e-27,21,hsa00052
hsa04392.13,2.39302586204683e-29,0.00113826387315658,0.302,0.11,7.44231043096563e-27,21,hsa04392
hsa01040.11,2.10010717832472e-28,0.000248410609992491,0.557,0.316,6.53133332458989e-26,21,hsa01040
hsa00350.12,1.67716226179884e-26,0.000217668950737626,0.167,0.132,5.2159746341944e-24,21,hsa00350
hsa05218.13,3.32565190511997e-25,0.00139909455431862,0.46,0.217,1.03427774249231e-22,21,hsa05218
hsa00591.12,1.56638335656244e-24,5.19146864752401e-05,0.257,0.126,4.87145223890919e-22,21,hsa00591
hsa00650.13,1.72669422501173e-24,0.000342861240348848,0.338,0.246,5.37001903978648e-22,21,hsa00650
hsa00670.12,2.79140234006843e-21,0.000524173082535583,0.146,0.111,8.68126127761281e-19,21,hsa00670
hsa04310.14,6.06007849769404e-20,0.00189217546959202,0.555,0.407,1.88468441278285e-17,21,hsa04310
hsa00983.13,2.8930359363518e-19,0.000218734794598593,0.4,0.291,8.9973417620541e-17,21,hsa00983
hsa05217.11,3.0984502009987e-19,0.000370981303115561,0.711,0.518,9.63618012510595e-17,21,hsa05217
hsa05100.14,8.40674269887445e-19,0.00199048444449386,0.45,0.26,2.61449697934995e-16,21,hsa05100
hsa05032.12,2.34077167288811e-18,0.000606102632509536,0.908,0.967,7.27979990268203e-16,21,hsa05032
hsa04610.3,7.08216920910967e-18,0.000155531649592152,0.298,0.074,2.20255462403311e-15,21,hsa04610
hsa00982.13,2.04920558530506e-17,0.000179688456541148,0.216,0.191,6.37302937029875e-15,21,hsa00982
hsa05410.13,3.44507882068764e-16,0.000484633616550442,0.872,0.8,1.07141951323386e-13,21,hsa05410
