"gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"SH3GLB2",0.567794732850567,0.362,0.17,4.46763347945182e-15
"NFAT5",0.701042155638023,0.644,0.442,6.03942560386123e-15
"WWTR1",0.807388924271668,0.322,0.15,8.21425576417002e-15
"DENND3",0.623884855280607,0.266,0.107,8.30104003909966e-15
"SEMA6A",0.497083866797559,0.25,0.097,1.2030279705069e-14
"AHI1",0.570714427267227,0.619,0.396,1.25673517942182e-14
"MCCC1",0.741698257920457,0.281,0.122,1.77368340522911e-14
"ENSG00000254929",0.682944954672189,0.353,0.174,3.8419136757105e-14
"LIMCH1",0.664954268840204,0.481,0.267,4.17603440929443e-14
"ELF3",0.705195940382192,0.297,0.131,1.28519622571638e-13
"CYFIP2",0.749921372912406,0.522,0.314,1.41278623822452e-13
"HSP90AB1",0.84189676506108,0.319,0.152,2.18474683846841e-13
"MST1L",0.466540325244053,0.556,0.324,3.77169068556632e-13
"TRPV4",0.664597682806091,0.272,0.118,5.48115581609213e-13
"JUN",0.452914423213675,0.35,0.165,6.89510619211837e-13
"RAI14",0.565825594356908,0.378,0.191,7.86529367882523e-13
"ZFP36L2",0.699553226655515,0.312,0.146,7.89446919274228e-13
"PTBP3",0.641336435954638,0.509,0.304,8.38398030799146e-13
"HOXD9",0.494465055892825,0.278,0.122,3.99493512608091e-12
"CEMIP2",0.503368016629766,0.284,0.127,5.15044039902205e-12
"EMX1",0.603367661686208,0.266,0.118,1.01937053840948e-11
"DOCK7",0.691595187110335,0.425,0.243,1.12790145680268e-11
"GSTM4",0.652641155391155,0.384,0.205,2.64956728614488e-11
"SYTL2",0.549077004914548,0.406,0.22,3.32988522020769e-11
"ENSG00000186301",0.476819299424093,0.406,0.219,3.55879486170268e-11
"DZIP3",0.514548642985031,0.303,0.143,4.10189186763035e-11
"TRAK1",0.694967857189487,0.334,0.17,4.36648500709874e-11
"CREM",0.536371361128118,0.275,0.126,1.02153687284199e-10
"MTMR10",0.702069942172592,0.403,0.225,1.19120836270096e-10
"EPOR",0.745800614270594,0.272,0.127,2.07691829388941e-10
