,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
LINC02893,-0.0601485275630211,0.783500906683057,0,1,0
ENSG00000270000,-0.00224157676752587,0.500083497783889,0,1,0
C16orf95-DT,-0.0168330287483516,0.123799929137802,0,1,0
ENSG00000270008,0.0211016398878955,0.00888723987453121,0,1,0
ZNF559-ZNF177,-0.0487995850415291,0.999085183251904,0,1,0
ENSG00000270016,-0.0176641426148041,0.739531322295573,0,1,0
ENSG00000270019,-0.0280697721719481,0.536368643454941,0,1,0
ENSG00000270020,-0.000527093787683333,0.674906412259682,0,1,0
ENSG00000270021,0.00231246455046017,0.233637012868968,0,1,0
ENSG00000270022,-0.0123998701739581,0.879056358069235,0,1,0
BMS1P7,-0.0745900945151132,0.879234279422191,0,1,0
ENSG00000270035,-0.0267531602120485,0.765849788815717,0,1,0
ENSG00000270038,-0.0037649635072889,0.676845079360138,0,1,0
ATP6V0D1-DT,-0.0503754156564886,0.681012611924269,0,1,0
ENSG00000270050,-0.00960603101093424,0.129960728947835,0,1,0
ENSG00000270066,0.000428233411735639,0.506591931972383,0,1,0
ENSG00000270068,0.000351743831143789,0.0691916323912779,0,1,0
ENSG00000270069,-0.224292110993331,0.99999999999819,0,1,0
ENSG00000270071,0.00710771501868993,0.0519476622815074,0,1,0
ENSG00000270074,-0.0319781198836835,0.971806737137609,0,1,0
ENSG00000270076,-0.0244013704418802,0.879056358069235,0,1,0
ENSG00000270084,-0.0324826562811971,0.929222695388671,0,1,0
ENSG00000270087,-0.0191843742868921,0.952252074952652,0,1,0
ENSG00000270090,-0.00435895978901537,0.266833098706927,0,1,0
ENSG00000270091,-0.0109441482155683,0.242337376234216,0,1,0
ENSG00000270098,0.0445703865850842,1.50066681694843e-21,16.2291243022237,5.90032179087785e-17,0.723338344087494
ENSG00000270099,-0.00798181950619598,0.013262739136374,0,1,0
ENSG00000270104,-0.0119003962300348,0.765950662814877,0,1,0
TSNAX-DISC1,-0.0616044454004437,0.99709024281212,0,1,0
ENSG00000270110,-0.0460339940427335,0.932516296003724,0,1,0
ST8SIA5-DT,-0.0124140718917631,0.178207141525138,0,1,0
ENSG00000270114,-0.0204923292857317,0.905281458161018,0,1,0
ENSG00000270124,-0.0135128644075792,0.410724469170713,0,1,0
