,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa05135,6.37948805232637e-15,1.64899560627515e-07,0.301,0.219,1.9840207842735e-12,3,hsa05135
hsa05235,1.02286292086561e-14,5.99785266029682e-08,0.36,0.277,3.18110368389206e-12,3,hsa05235
hsa05208,3.69735834987968e-14,1.70156199765175e-07,0.299,0.173,1.14987844681258e-11,3,hsa05208
hsa05146,6.50547925841436e-14,3.5993288206343e-08,0.395,0.311,2.02320404936687e-11,3,hsa05146
hsa04613,7.24382523043763e-14,5.72061272309219e-08,0.247,0.178,2.2528296466661e-11,3,hsa04613
hsa04360,5.92080094841478e-13,6.96713398335512e-08,0.394,0.304,1.84136909495700e-10,3,hsa04360
hsa05130,1.20771892354876e-12,1.80929366970071e-07,0.189,0.131,3.75600585223665e-10,3,hsa05130
hsa00770,1.24320272407579e-12,1.28334319441217e-07,0.458,0.119,3.8663604718757e-10,3,hsa00770
hsa04810,2.52974206357212e-11,1.40274644693212e-07,0.462,0.388,7.86749781770929e-09,3,hsa04810
hsa04620,5.15285648730629e-11,5.96003841763854e-08,0.3,0.217,1.60253836755226e-08,3,hsa04620
hsa05144,1.61671423701372e-10,7.09806067272583e-09,0.142,0.15,5.02798127711266e-08,3,hsa05144
hsa00510,4.26014109097493e-10,1.66690158466683e-08,0.395,0.297,1.3249038792932e-07,3,hsa00510
hsa05215,2.3027438929986e-09,2.02295590201288e-07,0.46,0.363,7.16153350722565e-07,3,hsa05215
hsa05223,8.01445753183068e-09,1.50106747292935e-07,0.428,0.342,2.49249629239934e-06,3,hsa05223
hsa05417,1.77878112646007e-08,6.74582863595733e-08,0.376,0.297,5.53200930329081e-06,3,hsa05417
hsa04921,1.88642880683188e-08,8.01893578251896e-08,0.148,0.122,5.86679358924716e-06,3,hsa04921
hsa05213,5.57406583124344e-08,1.69017226463722e-07,0.411,0.336,1.73353447351671e-05,3,hsa05213
hsa04666,9.430093148012e-08,9.15502786122919e-08,0.214,0.173,2.93275896903173e-05,3,hsa04666
hsa04659,1.02773553397072e-07,1.03528638646443e-07,0.414,0.328,3.19625751064894e-05,3,hsa04659
hsa05170,1.27316611003105e-07,8.58549544251022e-08,0.322,0.264,3.95954660219655e-05,3,hsa05170
hsa04722,2.8431299844002e-07,7.4103155844926e-08,0.376,0.296,8.84213425148463e-05,3,hsa04722
hsa04621,3.34872294293954e-07,4.33643264456732e-08,0.455,0.386,0.00010414528352542,3,hsa04621
hsa04141,4.75651170181998e-07,9.70358754404528e-08,0.544,0.466,0.000147927513926601,3,hsa04141
hsa04210,1.04600287381522e-06,9.7225512982297e-08,0.203,0.122,0.000325306893756534,3,hsa04210
hsa05416,1.17634151968453e-06,5.13650019038509e-08,0.132,0.12,0.000365842212621889,3,hsa05416
hsa05210,1.50888711042745e-06,8.93852808262143e-08,0.19,0.168,0.000469263891342937,3,hsa05210
hsa00330,1.79346450144668e-06,8.63335170262106e-07,0.499,0.298,0.000557767459949918,3,hsa00330
hsa04918,2.72519187868797e-06,8.44897586414231e-08,0.251,0.194,0.000847534674271959,3,hsa04918
hsa04917,3.19887160973244e-06,5.3392196419646e-08,0.389,0.297,0.00099484907062679,3,hsa04917
hsa05110,3.72258174431078e-06,5.76653150571636e-08,0.152,0.115,0.00115772292248065,3,hsa05110
hsa04610,6.42489515582931e-06,1.55181615967029e-08,0.633,0.519,0.00199814239346292,3,hsa04610
hsa03030,7.93303701965012e-06,4.24444024549658e-08,0.263,0.143,0.00246717451311119,3,hsa03030
hsa04926,8.54117820442595e-06,5.18148287971004e-08,0.196,0.164,0.00265630642157647,3,hsa04926
hsa04144,2.2025049952429e-05,1.52409661811215e-07,0.491,0.429,0.00684979053520542,3,hsa04144
hsa03460,2.53468082035141e-05,6.65819421020176e-08,0.479,0.37,0.00788285735129288,3,hsa03460
hsa04145,3.68159256014434e-05,6.82117467074803e-09,0.152,0.173,0.0114497528620489,3,hsa04145
hsa04062,0.000134409336339513,2.6449958302348e-08,0.392,0.333,0.0418013036015885,3,hsa04062
hsa04012,0.000150096895339823,1.18118306946977e-07,0.248,0.162,0.0466801344506851,3,hsa04012
hsa04935,0.000183380388867178,5.37767677512776e-08,0.388,0.353,0.0570313009376925,3,hsa04935
hsa05221,0.000250910208192279,2.47686622606903e-08,0.251,0.247,0.0780330747477986,3,hsa05221
hsa05162,0.000297655014438171,2.45168816447075e-08,0.557,0.505,0.0925707094902713,3,hsa05162
hsa05020,0.000428274779531022,8.42168538742557e-08,0.341,0.281,0.133193456434148,3,hsa05020
hsa04114,0.00057866559551319,4.79238510477005e-08,0.34,0.268,0.179965000204602,3,hsa04114
hsa05131,0.000641926706674507,1.06492507868559e-07,0.394,0.337,0.199639205775772,3,hsa05131
hsa03010,0.00186104643534531,5.79665481578722e-08,0.603,0.564,0.578785441392392,3,hsa03010
hsa04260,0.00247038176298302,1.60964593872362e-08,0.144,0.186,0.76828872828772,3,hsa04260
hsa05218,0.0030538338950782,5.36123027158606e-08,0.295,0.228,0.949742341369321,3,hsa05218
hsa04630,0.00376512175491316,2.06422244001263e-08,0.599,0.546,1,3,hsa04630
hsa04350,0.00409411648169451,8.36399986870752e-09,0.488,0.441,1,3,hsa04350
hsa05217,0.00424553872491488,2.32115945774319e-08,0.338,0.243,1,3,hsa05217
hsa05012,0.0067732065593832,1.33568924335692e-09,0.241,0.222,1,3,hsa05012
hsa05164,0.00738141741863767,6.02045586031177e-08,0.3,0.233,1,3,hsa05164
hsa05143.1,9.42835445925458e-104,8.7552747657555e-08,0.549,0.228,2.93221823682817e-101,7,hsa05143
hsa04750.1,2.79221262357024e-96,3.66644412346725e-07,0.623,0.351,8.68378125930345e-94,7,hsa04750
hsa05142.1,1.63543738531605e-93,4.80830087588354e-07,0.59,0.284,5.08621026833292e-91,7,hsa05142
hsa04071.1,1.11793933110991e-81,4.20814651017799e-07,0.618,0.355,3.47679131975182e-79,7,hsa04071
hsa00360.1,2.44077336271149e-79,6.36756447969034e-08,0.348,0.171,7.59080515803275e-77,7,hsa00360
hsa00600.1,1.41161115265981e-77,1.34847401948043e-07,0.566,0.288,4.39011068477201e-75,7,hsa00600
hsa04810.1,4.74608520118429e-75,6.29687203231853e-07,0.607,0.381,1.47603249756831e-72,7,hsa04810
hsa05032.1,1.77336828573919e-72,6.5090719078163e-08,0.54,0.265,5.51517536864888e-70,7,hsa05032
hsa04610.1,1.71688645078105e-68,9.43904156625856e-08,0.683,0.519,5.33951686192905e-66,7,hsa04610
hsa00565.1,1.50235580185073e-58,1.32565706481883e-07,0.543,0.284,4.67232654375577e-56,7,hsa00565
hsa04211.1,1.15515199999558e-54,1.27204499365226e-07,0.625,0.411,3.59252271998625e-52,7,hsa04211
hsa00340.1,4.91304979442919e-54,5.34562576752153e-08,0.37,0.244,1.52795848606748e-51,7,hsa00340
hsa04022.1,8.95743051590794e-51,4.77612805447346e-07,0.571,0.299,2.78576089044737e-48,7,hsa04022
hsa00040.1,2.8983714907062e-40,9.94530672969587e-08,0.359,0.209,9.01393533609629e-38,7,hsa00040
