,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04630.7,2.03378708428765e-11,0.000354765509039585,0.512,0.408,6.32507783213459e-09,10,hsa04630
hsa00061.6,7.84731888629395e-11,0.000243976587673407,0.098,0.161,2.44051617363742e-08,10,hsa00061
hsa05230.7,1.68803413433667e-10,0.000178388872188033,0.263,0.279,5.24978615778704e-08,10,hsa05230
hsa04371.10,6.67724314648646e-10,0.000354979207509282,0.391,0.297,2.07662261855729e-07,10,hsa04371
hsa04612.3,1.13434786562852e-09,0.00120411772921546,0.425,0.377,3.52782186210469e-07,10,hsa04612
hsa00220.10,1.16599328557524e-09,0.000230485303996805,0.114,0.187,3.62623911813899e-07,10,hsa00220
hsa05211.4,2.8026877848022e-09,0.000476570333946493,0.403,0.325,8.71635901073485e-07,10,hsa05211
hsa00430.8,2.99716636282352e-09,6.09799847904306e-05,0.047,0.117,9.32118738838115e-07,10,hsa00430
hsa04670.9,1.05642502904984e-08,0.000303979400320387,0.482,0.394,3.28548184034499e-06,10,hsa04670
hsa00770.9,4.19106015410791e-08,0.000862671560361406,0.153,0.24,1.30341970792756e-05,10,hsa00770
hsa03008.8,4.82379915393985e-08,0.000252089794288913,0.267,0.282,1.50020153687529e-05,10,hsa03008
hsa05218.7,5.04546556679494e-08,0.000363882527274707,0.376,0.363,1.56913979127323e-05,10,hsa05218
hsa00190.7,1.05802910975302e-07,0.0004003475929903,0.387,0.39,3.2904705313319e-05,10,hsa00190
hsa05224.9,8.58973759943845e-07,0.000378680752755909,0.405,0.333,0.000267140839342536,10,hsa05224
hsa00250.9,1.35105761339012e-06,2.44236597174898e-05,0.255,0.333,0.000420178917764326,10,hsa00250
hsa00730.4,2.29979000643494e-06,7.46564642481957e-05,0.055,0.125,0.000715234692001265,10,hsa00730
hsa00604.5,2.66060081196553e-06,4.09587999076344e-05,0.135,0.096,0.000827446852521279,10,hsa00604
hsa00900.7,9.56678361772772e-06,8.62316535808503e-05,0.166,0.242,0.00297526970511332,10,hsa00900
hsa04392.7,1.88363855977458e-05,0.000229738480236566,0.226,0.272,0.00585811592089894,10,hsa04392
hsa05143.10,2.76461351350762e-05,8.73600751017073e-05,0.214,0.195,0.00859794802700868,10,hsa05143
hsa05322.6,3.81303398048762e-05,6.95558218305863e-05,0.196,0.181,0.0118585356793165,10,hsa05322
hsa03040.5,3.81402885109344e-05,0.000524048063713632,0.476,0.424,0.0118616297269006,10,hsa03040
hsa00340.11,6.72118155925911e-05,0.000184501085743422,0.158,0.267,0.0209028746492958,10,hsa00340
hsa04145.6,0.000132438490803412,0.00012927620132104,0.438,0.399,0.0411883706398611,10,hsa04145
hsa04146.7,0.000199001535618412,3.63857059977898e-06,0.307,0.353,0.061889477577326,10,hsa04146
hsa04370.5,0.000216877637581014,0.000133071951377762,0.387,0.305,0.0674489452876953,10,hsa04370
hsa05226.9,0.000307767145766381,0.000224340923856271,0.454,0.409,0.0957155823333446,10,hsa05226
hsa04928.10,0.000378880506376292,0.00133729592923009,0.52,0.491,0.117831837483027,10,hsa04928
hsa04810.6,0.000435577009057094,0.000526432915644032,0.29,0.267,0.135464449816756,10,hsa04810
hsa03022.3,0.000446929821512381,0.000141881070160394,0.248,0.285,0.138995174490351,10,hsa03022
hsa00512.7,0.000595285926021247,5.24138699018833e-07,0.193,0.239,0.185133922992608,10,hsa00512
hsa05235.8,0.0013622248971775,0.000396507754224762,0.323,0.289,0.423651943022202,10,hsa05235
hsa00920.6,0.00184577993626085,0.000134736917619477,0.056,0.139,0.574037560177125,10,hsa00920
hsa00534.3,0.00212653012436567,4.32233385454813e-05,0.078,0.127,0.661350868677725,10,hsa00534
hsa05213.8,0.00245732817718725,0.000235031769030701,0.421,0.412,0.764229063105236,10,hsa05213
hsa04062.10,0.00247743172715814,7.58571404700861e-05,0.459,0.377,0.770481267146181,10,hsa04062
hsa00760.9,0.00360595134305332,1.54520486541754e-05,0.142,0.239,1,10,hsa00760
hsa05144.11,0.00541650534829106,5.78520007425435e-05,0.251,0.225,1,10,hsa05144
hsa05214.7,0.00691758408596603,0.000148778202058754,0.383,0.364,1,10,hsa05214
hsa03320.6,0.00763701083021076,7.40416328896244e-05,0.414,0.443,1,10,hsa03320
hsa04144.9,0.00854283185443859,0.000575490247725882,0.46,0.437,1,10,hsa04144
hsa04964.12,1.65402487235577e-52,0.0030892105517115,0.826,0.558,5.14401735302645e-50,13,hsa04964
hsa04974.11,1.50564996760479e-47,0.000554190967825622,0.877,0.65,4.68257139925089e-45,13,hsa04974
hsa04976.11,1.35456399047315e-41,0.000638559443943144,0.86,0.652,4.21269401037148e-39,13,hsa04976
hsa05219.7,3.27849059402666e-40,0.00111341458825442,0.718,0.478,1.01961057474229e-37,13,hsa05219
hsa04961.11,7.01622432380347e-36,0.00144362993955686,0.782,0.563,2.18204576470288e-33,13,hsa04961
hsa04260.11,8.70420374000225e-33,0.000864194829501214,0.852,0.669,2.7070073631407e-30,13,hsa04260
hsa05321.10,5.99445601572755e-30,0.00068580951057719,0.565,0.316,1.86427582089127e-27,13,hsa05321
hsa04068.10,3.28484700617803e-22,0.00147568507080128,0.817,0.718,1.02158741892137e-19,13,hsa04068
hsa04550.7,9.08764283537991e-22,0.000919928114915733,0.662,0.5,2.82625692180315e-19,13,hsa04550
hsa04261.11,2.15830430867014e-21,0.000753481555002579,0.783,0.684,6.71232639996413e-19,13,hsa04261
hsa04140.9,9.21549604032889e-21,0.00157138660339714,0.729,0.601,2.86601926854229e-18,13,hsa04140
hsa05032.10,1.27743869517175e-20,0.000226223617290322,0.816,0.674,3.97283434198415e-18,13,hsa05032
hsa05169.11,2.16559508285919e-20,0.00110739184046827,0.753,0.646,6.73500070769207e-18,13,hsa05169
hsa04978.11,2.19443605313723e-18,0.000453418120648984,0.894,0.77,6.8246961252568e-16,13,hsa04978
hsa05212.11,2.38168466948583e-18,0.0013862821492383,0.713,0.559,7.40703932210094e-16,13,hsa05212
hsa00920.7,2.88462604519266e-17,0.000218139940494535,0.258,0.132,8.97118700054916e-15,13,hsa00920
hsa00340.12,1.23455687032876e-16,0.000284177887908128,0.377,0.26,3.83947186672244e-14,13,hsa00340
hsa00650.11,2.04758151848233e-16,0.000301971131523401,0.343,0.246,6.36797852248006e-14,13,hsa00650
hsa00240.8,4.51094406864795e-16,0.000374518526059559,0.42,0.217,1.40290360534951e-13,13,hsa00240
hsa04024.10,4.70933259305513e-16,0.000644681788165612,0.809,0.726,1.46460243644014e-13,13,hsa04024
hsa04918.10,2.68233279807617e-15,0.00060103503003871,0.756,0.64,8.3420550020169e-13,13,hsa04918
hsa04710.8,5.9642071415456e-14,0.000396422970365279,0.49,0.266,1.85486842102068e-11,13,hsa04710
hsa00410.7,7.7545827602922e-14,0.000561014084682781,0.596,0.437,2.41167523845087e-11,13,hsa00410
hsa04630.8,3.08370901402867e-13,0.000483784225179209,0.58,0.407,9.59033503362916e-11,13,hsa04630
hsa05145.10,3.42685478965537e-13,0.00078677801382825,0.713,0.601,1.06575183958282e-10,13,hsa05145
hsa05221.9,8.57163018123594e-13,0.000535331280570282,0.633,0.492,2.66577698636438e-10,13,hsa05221
hsa00280.8,2.3037364770445e-12,0.000373446834438238,0.626,0.468,7.1646204436084e-10,13,hsa00280
hsa05160.7,3.11079676225417e-12,0.000590562476480683,0.616,0.487,9.67457793061048e-10,13,hsa05160
hsa05220.10,6.71258805403718e-12,0.000728003440500074,0.662,0.562,2.08761488480556e-09,13,hsa05220
hsa00670.7,1.68506872915804e-11,0.000358863514873305,0.254,0.124,5.24056374768149e-09,13,hsa00670
hsa05202.10,3.34303427482579e-11,0.00107777611967875,0.623,0.51,1.03968365947082e-08,13,hsa05202
hsa05161.7,9.94014865441508e-11,0.000917959597100095,0.71,0.623,3.09138623152309e-08,13,hsa05161
hsa05171.6,3.0834353968662e-10,0.00136321006067763,0.693,0.61,9.58948408425387e-08,13,hsa05171
hsa04744.9,3.85670991302893e-10,6.97828021805862e-05,0.275,0.174,1.199436782952e-07,13,hsa04744
hsa05223.6,9.06454893757619e-10,0.000638930122710749,0.594,0.459,2.81907471958619e-07,13,hsa05223
hsa00010.10,1.16938057682702e-09,0.000839095445363746,0.502,0.369,3.63677359393203e-07,13,hsa00010
hsa04930.10,1.69502939677622e-09,0.000498476318707549,0.72,0.607,5.27154142397404e-07,13,hsa04930
hsa04972.11,1.94716261851763e-09,0.000296002193548363,0.722,0.611,6.05567574358984e-07,13,hsa04972
hsa04950.11,2.86172783995079e-09,2.63694046033661e-05,0.224,0.167,8.89997358224695e-07,13,hsa04950
hsa04973.10,1.08171488909517e-08,0.000296848348366588,0.742,0.592,3.36413330508599e-06,13,hsa04973
hsa04911.11,1.6301052511917e-08,0.000260321165316295,0.703,0.601,5.06962733120619e-06,13,hsa04911
hsa04144.10,2.22338016884899e-08,0.00275055940486522,0.565,0.434,6.91471232512035e-06,13,hsa04144
hsa00770.10,2.70046017967082e-08,0.00089959469928354,0.314,0.234,8.39843115877624e-06,13,hsa00770
hsa04931.9,6.26315226937689e-08,0.000873895990612211,0.683,0.611,1.94784035577621e-05,13,hsa04931
hsa05210.8,7.54925598547082e-08,0.000779477867280238,0.659,0.55,2.34781861148142e-05,13,hsa05210
hsa04110.5,9.42607324135778e-08,0.000600166436061959,0.553,0.441,2.93150877806227e-05,13,hsa04110
hsa04917.9,1.22275637990692e-07,0.000540875416213579,0.608,0.479,3.80277234151052e-05,13,hsa04917
hsa04217.10,1.23597234206602e-07,0.000430389408341222,0.729,0.674,3.84387398382534e-05,13,hsa04217
hsa02010.7,1.41181458463783e-07,0.00019156158062889,0.478,0.342,4.39074335822364e-05,13,hsa02010
hsa04914.10,1.59110865882181e-07,0.000625959978639783,0.735,0.656,4.94834792893583e-05,13,hsa04914
hsa00380.10,6.22904876641139e-07,0.000624325960611007,0.235,0.164,0.000193723416635394,13,hsa00380
hsa00532.6,9.32098829164084e-07,4.44241552428062e-05,0.357,0.207,0.00028988273587003,13,hsa00532
hsa00230.11,1.36176106057342e-06,0.000129279797322588,0.643,0.527,0.000423507689838332,13,hsa00230
hsa00630.8,1.54967466489188e-06,0.000173948970130531,0.536,0.415,0.000481948820781374,13,hsa00630
hsa05110.8,4.65404466105411e-06,0.000108545334680208,0.628,0.493,0.00144740788958783,13,hsa05110
hsa05222.8,6.319078378176e-06,0.000429679330715987,0.551,0.434,0.00196523337561273,13,hsa05222
hsa05226.10,1.03325446216786e-05,0.000338933665310083,0.509,0.407,0.00321342137734205,13,hsa05226
hsa04622.10,1.25521308409733e-05,0.000260364258390679,0.696,0.591,0.0039037126915427,13,hsa04622
hsa04925.10,1.48824947688764e-05,0.000264972654680905,0.737,0.694,0.00462845587312057,13,hsa04925
hsa05033.1,1.77481109765329e-05,2.53988617685841e-05,0.109,0.038,0.00551966251370174,13,hsa05033
hsa05203.9,2.13624860260974e-05,0.000580015360601361,0.66,0.594,0.00664373315411629,13,hsa05203
hsa05217.7,3.08285230142232e-05,9.51228469308712e-05,0.485,0.356,0.00958767065742342,13,hsa05217
hsa05215.7,5.58305078448812e-05,0.000711564302822307,0.544,0.456,0.0173632879397581,13,hsa05215
hsa05150.9,0.000117024377173728,3.1828686433802e-06,0.503,0.388,0.0363945813010295,13,hsa05150
hsa04971.12,0.000118973639932899,0.000167450620975337,0.785,0.735,0.0370008020191316,13,hsa04971
hsa00450.8,0.000121118503802498,0.000162520994180873,0.224,0.116,0.037667854682577,13,hsa00450
hsa05162.10,0.000164865396126869,0.000367150055264948,0.621,0.536,0.0512731381954563,13,hsa05162
hsa05216.6,0.000200832119362665,0.000334073715208099,0.575,0.454,0.0624587891217889,13,hsa05216
hsa00561.8,0.000398023244650041,1.53119845760247e-05,0.232,0.26,0.123785229086163,13,hsa00561
hsa00533.8,0.000508823118745672,4.46917201348955e-05,0.235,0.187,0.158243989929904,13,hsa00533
hsa00983.11,0.000745413526830852,0.000129799338183208,0.432,0.328,0.231823606844395,13,hsa00983
hsa00604.6,0.000751305954743803,2.17776575877858e-05,0.148,0.096,0.233656151925323,13,hsa00604
hsa05152.9,0.000829178537002392,0.000286202735006262,0.633,0.568,0.257874525007744,13,hsa05152
hsa04666.9,0.00230050364146162,1.86568886619223e-06,0.367,0.35,0.715456632494564,13,hsa04666
hsa04920.10,0.00283313324978362,0.000260020931598419,0.447,0.339,0.881104440682706,13,hsa04920
hsa00520.9,0.00360359800450779,0.000781084523500832,0.548,0.46,1,13,hsa00520
hsa00071.8,0.00421130320518634,0.000264375896451837,0.181,0.236,1,13,hsa00071
hsa05012.8,0.00488234658914202,0.000400419145745396,0.578,0.521,1,13,hsa05012
hsa05133.9,0.00512450660736878,0.000128372924686999,0.619,0.532,1,13,hsa05133
hsa04350.8,0.00631054506498925,0.000119310138537326,0.459,0.347,1,13,hsa04350
hsa05020.6,0.00674277007422234,0.000406252811562183,0.544,0.484,1,13,hsa05020
hsa00310.11,0.00694532408095119,0.000701929011403493,0.34,0.263,1,13,hsa00310
hsa04960.10,0.00718902277541788,0.000336338873474427,0.573,0.5,1,13,hsa04960
hsa05163.7,0.00745620556646675,0.00463206343592391,0.534,0.476,1,13,hsa05163
hsa05167.8,0.0075290904966983,0.000524308472047705,0.592,0.554,1,13,hsa05167
hsa04940.10,0.00910206861391326,3.26597616074375e-05,0.394,0.316,1,13,hsa04940
hsa00620.10,0.0093819633786818,0.000415329285688839,0.234,0.175,1,13,hsa00620
hsa03060.5,0.00951514192263918,0.000254964668285557,0.476,0.372,1,13,hsa03060
hsa04360.11,3.93927587430181e-52,0.000850143001329336,0.184,0.169,1.22511479690786e-49,8,hsa04360
hsa04662.10,1.17665601105089e-44,0.000505752922681294,0.204,0.211,3.65940019436827e-42,8,hsa04662
hsa04120.11,3.10358738854849e-43,0.00128367588968748,0.294,0.255,9.65215677838581e-41,8,hsa04120
