"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","SLC8A1-AS1",2.83154872195026,0.677,0.086,0
"6","CALB1",2.49894249529982,0.611,0.171,0
"6","NFE2L2",2.45537140612736,0.828,0.36,0
"6","PIK3C2G",2.15392041308322,0.827,0.23,0
"6","ENSG00000271825",1.99059845255712,0.421,0.045,0
"6","ENSG00000271996",1.96647574533461,0.414,0.044,0
"6","HSD11B2",1.93560376694359,0.875,0.357,0
"6","TEX41",1.8811324793196,0.662,0.19,0
"6","ADM",1.83274990517534,0.416,0.081,0
"6","ENSG00000236283",1.63515859450628,0.897,0.401,0
"6","TRPM6",1.58890226746029,0.425,0.086,0
"6","WNK1",1.47479470971238,0.906,0.474,0
"6","LINC01099",1.44237492110127,0.284,0.02,0
"6","TMEM52B",1.38084158612062,0.669,0.227,8.6127398919318e-291
"6","APCDD1L-DT",1.41565536291731,0.447,0.105,2.34744192599625e-286
"6","NR0B2",1.5201018648516,0.256,0.038,4.22910891143305e-267
"6","WSB1",1.13562166937362,0.932,0.654,6.08252150684048e-250
"6","SLC38A11",1.36383626108662,0.574,0.2,8.90840012979984e-250
"6","DPY19L2",1.48859108134974,0.654,0.292,1.91285796408684e-234
"6","ATP1B1",1.31554681753571,0.864,0.568,5.97306420464487e-223
"6","RHCG",1.31047978285139,0.354,0.087,1.12774554351671e-213
"6","COBLL1",1.15344609517768,0.902,0.619,1.46481948373974e-212
"6","SCN3A",1.32473869931408,0.637,0.267,3.24696744232987e-211
"6","SCN2A",1.18285463888407,0.643,0.277,4.28690367109107e-192
"6","PDE4D",1.1397233796222,0.778,0.468,5.71617461051658e-185
"6","EMX1",1.1840112481063,0.36,0.103,5.65579742813636e-183
"6","MALAT1",0.41327165889664,1,1,3.35690721365798e-175
"6","CADPS2",1.24266373291527,0.548,0.23,3.28028423589298e-163
"6","DEFB1",1.44827509168565,0.59,0.29,3.21079237558012e-158
"7","SLC12A1",3.2951095266217,0.998,0.188,0
"7","UMOD",2.59607737183164,0.855,0.156,0
"7","GP2",2.23311025690958,0.753,0.081,0
"7","RP1",2.0791769664615,0.637,0.083,0
"7","ACP3",1.93465188524283,0.479,0.047,0
"7","EGF",1.87250037336035,0.804,0.216,0
"7","CXCL12",1.85579901856367,0.447,0.035,0
"7","SIM2",1.81615150327073,0.532,0.051,0
"7","CLCN5",1.76751832675756,0.813,0.3,0
"7","TCIM",1.72024431605083,0.567,0.117,0
"7","LINC01606",1.69513729144128,0.595,0.12,0
"7","ENSG00000278898",1.64939952761834,0.42,0.052,0
"7","SGIP1",1.56951731982269,0.578,0.12,0
"7","PCDH9",1.56323163670659,0.613,0.161,0
"7","SEMA6D",1.52700050263311,0.5,0.119,0
"7","PLCB1",1.47171270383816,0.461,0.067,0
"7","IRX2",1.46592730501137,0.314,0.016,0
"7","SLC16A12",1.40631372882528,0.609,0.163,0
"7","NTRK2",1.22568195589742,0.3,0.03,0
"7","ENSG00000197099",1.25949673312071,0.499,0.121,1.28202314633026e-286
"7","PDE1A",1.33943088780903,0.592,0.172,7.75063394997709e-285
"7","SLC4A7",1.41579585959433,0.417,0.092,3.67122780086225e-273
"7","WNK4",1.21875349931044,0.521,0.142,2.84065288849607e-258
"7","F11",1.32415718887032,0.424,0.101,2.266845254307e-257
"7","RANBP3L",1.31381574871752,0.385,0.084,3.55276766103136e-255
"7","LINC01762",1.18827212295256,0.373,0.078,1.21425200858414e-254
"7","ERBB4",1.32548868134903,0.6,0.201,9.25010998529585e-254
"7","ENSG00000282278",1.31058955993511,0.33,0.063,1.85170854813454e-251
"7","ATP1A1",1.27652094156353,0.889,0.483,4.75588854535962e-249
"7","DNASE1",1.25799294627227,0.623,0.219,2.64681541305474e-241
"8","ENSG00000211459",1.96883366897613,0.949,0.928,4.390578944213e-221
"8","ENSG00000210082",2.43030249373645,0.992,0.984,8.02289440223438e-220
"8","ENSG00000281383",1.37659444790068,1,0.999,6.64547671970727e-176
"8","ENSG00000269028",2.4300306221918,0.72,0.615,8.3706622651957e-102
"8","FTCD",1.91037953602058,0.484,0.252,4.38450792981195e-81
"8","COX1",1.45690191788419,0.645,0.603,1.47967319125959e-55
"8","PTH1R",1.32929869034231,0.613,0.448,3.69221867495171e-52
"8","MIOX",1.6098123931018,0.416,0.227,3.10066347972425e-51
"8","SYNE2",1.12399776482408,0.776,0.772,1.65590843943137e-45
"8","ND6",1.7618978010607,0.405,0.263,1.13153122042416e-42
